"Inner_Iter",    "Time(sec)"   ,    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[nu]"    ,     "Min DT"     ,     "Max DT"     ,     "Min CFL"    ,     "Max CFL"    ,     "Avg CFL"    
          85,      0.2028382557,     -0.8286212514,       1.517476235,      0.8142956061,       4.199590892,      -11.26270211,    2.20265306e-08,   4.197898931e-06,       6.513393354,       9.412351485,       9.411214032
          86,      0.2029043296,     -0.7582969881,       1.536578995,      0.9417310895,       4.195684491,      -11.25089375,   2.224661792e-08,   5.005798122e-06,       6.513393354,          9.506475,         9.5052247
          87,      0.2031573671,     -0.7288557529,       1.527796897,      0.9499613135,       4.175643679,      -11.17116515,   2.246890342e-08,    5.11468329e-06,       6.513393354,        9.60153975,       9.600122197
          88,      0.2034989629,     -0.7144929879,       1.525437899,       1.153301471,        4.15619328,      -11.22613692,   2.269340905e-08,   5.088324594e-06,       6.513393354,       9.697555147,       9.695977589
          89,      0.2037583816,     -0.7623071738,       1.531847291,        1.03380921,       4.227881459,      -11.17206011,   2.292015703e-08,   5.142273078e-06,       6.513393354,       9.794530699,       9.792823899
          90,      0.2040867072,      -0.694915281,       1.533532007,      0.9960816207,       4.210471999,      -11.18024478,   2.314916975e-08,   5.089317781e-06,       6.513393354,       9.892476006,       9.890634104
          91,      0.2042317939,     -0.7484600049,       1.534112861,      0.8513582285,       4.315662695,       -11.1420841,   2.338046975e-08,   5.212337685e-06,       6.513393354,       9.991400766,       9.989403804
          92,      0.2045452336,      -0.695446169,        1.57067612,      0.9169488454,       4.324445162,      -11.14340951,      2.361408e-08,   5.082105037e-06,       6.513393354,       10.09131477,       10.08916092
          93,      0.2048482923,     -0.6491354303,       1.562937443,       0.922003798,       4.200709438,      -11.08486912,   2.385002351e-08,    5.71474962e-06,       6.513393354,       10.19222792,       10.18988495
          94,      0.2051773819,     -0.6595636623,       1.593437336,       1.209320852,        4.31791963,      -11.06259658,   2.408832359e-08,   5.723672499e-06,       6.513393354,        10.2941502,       10.29153801
          95,      0.2054815773,       -0.60712839,       1.670549018,       1.099851106,       4.356764782,      -10.98855482,   2.432900386e-08,   6.128895729e-06,       6.513393354,        10.3970917,       10.39420447
